head_event	relation	tail_event
消除眼睛肿	X-Y	睡前不要喝大量的水
凹透镜	Accelerator	看近距离物品时有缩小
眼睛发痒	X-Y	过敏性睑皮炎
六个月的婴幼儿经过验光检查以后存在散光	X-Y	恢复
视网膜色素上皮病变	X-Y	视网膜色素上皮层紊乱
散光的度数	X-Y	对视力影响
突然视力下降	Accelerator	眼内炎
眼底病变	X-Y	激素类的药物
合并内囊炎症	Accelerator	抗感染对症治疗
眼睛前面有小黑点或者条状飞絮	X-Y	眼底的病变
防蓝光眼镜	X-Y	减少对眼睛造成损害
消除眼睛肿	X-Y	补充一些维生素类的食品
配戴老花镜	X-Y	确定老光戴镜的度数
预防老花眼	X-Y	多活动眼球
正常情况	Accelerator	40岁左右
超过600度	Accelerator	视网膜近视性改变
散光	X-Y	获得性的散光
早期	Accelerator	定期检查眼底
微生物可以沿着鼻泪管蔓延进入眼睛	Accelerator	角膜炎
加工工艺上的考量	Accelerator	纯远视眼镜的价格要贵
及早的通过各种光学矫正的办法提高视力	Accelerator	避免眼部疲劳的发生
电光性眼炎	X-Y	眼部疼痛难忍
结膜或者眼睑的水肿	Accelerator	术后感染
散光	X-Y	首选角膜接触镜
糖尿病视网膜病变	X-Y	视力的丧失
沙眼	X-Y	结膜污秽增厚
并发虹膜睫状体炎	Accelerator	睫状肌麻痹剂
刺激的产品和食物	Accelerator	加重对眼睛的损伤
比较严重的时候	Accelerator	可能形成角膜穿孔
眼睛流血	Accelerator	及时清创
下眼皮肿胀、疼痛	X-Y	眼睑脓肿
遗传因素造成	Accelerator	先天性
抗衰老作用的那些食品	Inhibitor	眼睛的老化
视网膜脱落	X-Y	使脱离的视网膜复位
视野缺损	X-Y	糖皮质激素治疗
早期	Accelerator	保持静卧位
有没有产生明显的眼部疲劳表现	Accelerator	严不严重
肾病和血液病	X-Y	眼底出血
早期	Accelerator	观察
中央静脉阻塞	Accelerator	视物模糊
液性的、颗粒状的白色的分泌物	Accelerator	病毒性结膜炎
眼花得比较快	Accelerator	到医院眼科做详细的检查
景深变短	Accelerator	近距离阅读模糊会更为明显
下眼皮肿胀疼痛	X-Y	眼球疾病累及
玻璃膜疣	X-Y	维生素
沙眼	X-Y	异物感
早期	Accelerator	眼药膏晚上用
色盲	X-Y	后天性
眼底出血	X-Y	明确视网膜出血的原因
眼底出血	X-Y	视野的缺损
度数较低	Accelerator	不用戴镜
糖尿病视网膜病变	X-Y	新生血管性青光眼
眼睛花、头痛	X-Y	保证充足睡眠
眼睑蜂窝织炎	X-Y	寒战
对视力有没有造成影响	Accelerator	严不严重
眼底出血	X-Y	做手术
虹膜睫状体炎	X-Y	角膜内皮
眼底出血	X-Y	可以自行恢复正常
黄斑水肿	Accelerator	及早处理
视网膜色素变性	X-Y	抗氧化剂
结膜炎	X-Y	周边角膜浸润性炎症
戴眼镜	Inhibitor	眼睛的疲劳
散光150度	X-Y	配50-100度左右的散光眼镜
伴有瘙痒	Accelerator	下眼睑过敏
造成视力轻度的下降	Accelerator	及早的配戴眼镜
压痛、触痛明显	Accelerator	眼睑疱疹
局部出血的症状仍然没有完全吸收	Accelerator	观察一下
散光的矫正手术	X-Y	价格在5000-8000元
颅内占位性疾病	Accelerator	神经外科进行进一步的诊治，必要的时候需要手术治疗
散光	X-Y	医院验光
老花眼	X-Y	近处物体就会看不清
外伤性的并发症	Accelerator	手术费用一般会在20000-30000元之间
散光	X-Y	有些是不可以治疗
角膜炎	X-Y	继发生眼内炎
新生血管或者静脉阻塞，引起的血管破裂、渗出导致的出血	X-Y	眼底的出血
电光性眼炎	X-Y	畏光
慢性期	Accelerator	烧灼感
白眼球表面的出血	Accelerator	结膜下出血
年纪比较大	Accelerator	鼻腔泪囊吻合术
白塞病性葡萄膜炎	X-Y	免疫抑制剂
屈光不正	Accelerator	到正规医院去验配
眼底的病情加重	Accelerator	视物的变形
角膜溃疡	Accelerator	需积极抗感染、抗病毒对症治疗
眼睛花之后头疼恶心	X-Y	到医院做检查
配戴老花镜	X-Y	配单光
早期	Accelerator	维生素
圆锥角膜	X-Y	角膜的形态呈现为圆锥形态
可以跟花眼抵消	Accelerator	看近就没那么吃力
病毒感染	Accelerator	病毒性角膜炎
视物变形	Accelerator	玻璃体腔内注射抗血管内皮细胞生长因子治疗
散光	X-Y	屈光手术治疗
红点在下眼睑	Accelerator	皮肤血管瘤
糖尿病	X-Y	糖尿病视网膜病变
屈光不正	X-Y	配镜矫正
视野的缺损	Accelerator	血管造影检查
角膜云翳	X-Y	角膜移植术
看不清时只要眯起眼皮就能够立即提升清晰程度	X-Y	散光
异物感	Accelerator	病毒的感染
睑结膜瘢痕	X-Y	沙眼
形成了新生血管	Accelerator	继发性青光眼
视网膜血管堵塞	X-Y	及早治疗
眼睛花之后头疼恶心	X-Y	近距离用眼一定需要配戴眼镜
非溃疡型的角膜基质炎	Accelerator	短时间使用糖皮质激素滴眼液
视网膜在拉伸	X-Y	视网膜近视性改变
老花眼	X-Y	框架眼镜
四岁的儿童	Accelerator	角膜塑形镜
戴上花镜还是出现头疼、头晕、恶心	Accelerator	到医院做检查
糖尿病视网膜病变	X-Y	手术治疗
眼底出血	X-Y	费用在5000-10000元之间
少量的网膜表面出血	Accelerator	保守治疗
眼底病变	X-Y	手术切除
角膜炎	X-Y	视力是完全恢复正常
中药	X-Y	清热解毒药方熏洗
只眼睛的角膜形态是不规则的	X-Y	一只眼睛散光严重
眼底出血	X-Y	眼内注射抗新生血管药物
不会对视力造成影响	Accelerator	不需要处理
角膜白斑	Accelerator	保守治疗通常是无效
视网膜激光光凝术	X-Y	眼底血管疾病
近视	X-Y	配戴眼镜
色弱或色盲家属史者	X-Y	优生优育筛查
牵拉性视网膜脱离	X-Y	自愈的可能性也很小
串珠子训练	X-Y	弱视
年老体弱	Accelerator	内囊摘除术
防蓝光眼镜	X-Y	缓解眼部疲劳
一旦发现	Accelerator	立刻治疗
休息不足	X-Y	眼睛充血
细菌性角膜炎	X-Y	经常流泪
角膜炎	X-Y	暴露性角膜炎
早期	Accelerator	玻璃膜疣
严重的干眼	X-Y	滴用不含防腐剂的人工泪液
年龄的增长	Accelerator	度数会逐步减轻
泪液分泌异常	X-Y	急性泪腺炎
早期	Accelerator	定期观察眼底的变化
逐渐发展	Accelerator	结膜瘢痕形成
角膜接触镜	Inhibitor	两只眼睛物差过大
视网膜分支静脉阻塞	X-Y	玻璃体切割手术
轻微的角膜炎症	Accelerator	一周以内可以逐步的恢复
外伤	Accelerator	戴隐形眼镜
原来为近视眼	Accelerator	视镜需要降低相应的近视度数
视网膜激光光凝术	X-Y	防止病情进一步的加重
下眼皮肿胀、疼痛	X-Y	眼睑疱疹
散光	X-Y	角膜移植术
确定是散光	Accelerator	每半年左右到医院复查
散光	X-Y	角膜接触镜
结膜血管瘤	X-Y	手术
范围越大	Accelerator	造成的影响就越大
干眼症	X-Y	学会劳逸结合
及早的配戴眼镜	Accelerator	眼部疲劳
沙眼	X-Y	睑结膜瘢痕
眼镜片	X-Y	具体的价格
角膜炎	Accelerator	需积极抗感染、抗病毒对症治疗
眼底病变	X-Y	结合理疗
丝状角膜炎	X-Y	流泪
常用的	Accelerator	阿昔洛韦滴眼剂
伴有斜视	Accelerator	原则上充分矫正
老花眼	X-Y	避免出现明显的疲劳不适
细菌性角膜炎	X-Y	出现溃疡
远视	X-Y	度数有可能会逐步降低
湿性的黄斑变性	X-Y	手术
度数比较高	Accelerator	人工晶体植入术
不愿意配戴框架眼镜	Accelerator	角膜接触镜
远视	X-Y	度数会逐步减轻
早期	Accelerator	抗氧化剂
眼轴逐步拉长	Accelerator	视网膜在拉伸
对角膜造成磨损	Accelerator	角膜不断变薄
睡前使用	Inhibitor	明显的不适感
泪液排出异常	X-Y	泪道冲洗通畅
远视	X-Y	配戴一副矫正远视的眼镜
视网膜表面的新生血管	Accelerator	视力下降
角膜屈光手术	Accelerator	准分子激光手术
视网膜前膜	X-Y	定期观察眼底的变化
老花眼	X-Y	服用枸杞子、决明子、菊花泡茶
白塞病	X-Y	生殖器溃疡
远视	X-Y	成年以后行屈光手术
初期阶段	Accelerator	不用佩戴眼镜
单纯的泪道狭窄	Accelerator	泪道探通术
散光是极其不规则	Accelerator	常规的矫正方法有时候很难把视力提高到正常
玻璃体切割手术	X-Y	考虑出院
预防	Accelerator	缓解眼睛的衰老
细菌性角膜炎	X-Y	眼睛内有大量的脓性分泌物
电光性眼炎	X-Y	引起角膜炎
看远时模糊不清	X-Y	散光
近视镜	X-Y	看近距离物品时有缩小
角膜的炎症	Accelerator	及早的通过药物干预缓解症状
角膜炎	X-Y	外观上眼睛发红
一条子午线上，平行光线的焦点落在视网膜表面	Accelerator	远视散光
散光	X-Y	角膜厚度
暴露性角膜炎	X-Y	晚上可以涂药膏
调节功能训练	Accelerator	延缓花眼的进展
视网膜分支静脉阻塞	X-Y	黄斑水肿
急性期	Accelerator	耳前淋巴结肿大
术后眼内的葡萄膜炎反应比较明显	Accelerator	观察一下
角膜基质炎	X-Y	睫状肌麻痹剂
眼睛视力下降的原因	X-Y	视网膜动脉或者静脉阻塞
色盲	X-Y	先天性
甲亢或眼眶的肿物	X-Y	眼球突出
年龄比较小	Accelerator	会揉眼
角膜基质炎	X-Y	单纯疱疹病毒
难以控制的重症感染	Accelerator	治疗性角膜移植手术
角膜炎	X-Y	角膜上皮一般会留有瘢痕
质量比较低劣的隐形眼镜	X-Y	对眼睛造成的损害比较大
严重的干眼	X-Y	泪膜不稳定
丧失在24小时之内恢复正常	Test	过度疲劳
视神经病变	X-Y	视盘旁线状的火焰状出血
增殖膜形成变的比较厚或者牵拉视网膜	Accelerator	及早行玻璃体切割手术
视网膜手术	X-Y	逐步的恢复正常
慢性期	Accelerator	干燥
一过性	Accelerator	过度疲劳
散光的轴位	Accelerator	恢复良好的视觉质量
玻璃体本身出血	Accelerator	玻璃体牵拉
眼部疼痛	X-Y	一过性眼压升高
白塞病性葡萄膜炎	X-Y	青光眼的手术
电光性眼炎	X-Y	母乳
高血压	X-Y	睡醒眼睛肿
近视激光手术原则	X-Y	必须年满18周岁
150度的散光	X-Y	逆规散光
视网膜近视性改变	X-Y	黄斑出血
渗出性黄斑变性	X-Y	避免光损伤
影响视力	Accelerator	血细胞进入到玻璃体腔
小儿角膜炎	X-Y	眼睛发红
丝状角膜炎	X-Y	角膜的表面有卷曲的丝状物，一端附着在角膜的上皮面，另一端是游离的
眼底出血	X-Y	血细胞进入到玻璃体腔
难以恢复	Accelerator	母乳
抗真菌的药物	Accelerator	恢复
结膜组织发生过敏	X-Y	结膜水肿
儿童散光	X-Y	睫状肌麻痹剂来散瞳
时间比较短	X-Y	巩膜环扎术
闭角型青光眼	X-Y	减少房水生成的手术
急性期	Accelerator	合并弥漫性的角膜上皮炎
随着年龄的增加	Accelerator	玻璃体的退行性的变化
脱离范围比较小	Accelerator	外路手术
沙眼	X-Y	对并发症的治疗
青光眼	X-Y	视力明显下降
不用药水	Accelerator	脓液流出
严重的话	Accelerator	视网膜脱离
疾病早期炎症比较浅	Accelerator	不会形成角膜瘢痕
眼底出血	X-Y	眼部B超
凸透镜	X-Y	将光线聚焦在一个焦点
中、低度	Accelerator	激光手术
睑腺炎	X-Y	疼痛
成人沙眼	X-Y	滤泡性的结膜炎
睑板腺功能障碍	X-Y	少看手机及电视
糖尿病视网膜病变	X-Y	眼底有血点、渗出
眼睛刺痛	Accelerator	病毒的感染
散光患者	X-Y	人工晶体植入术
结膜组织发生过敏	X-Y	眼角红痒
长时间看书	X-Y	干眼症
眼底出血	X-Y	OCT检查
角膜炎	X-Y	糖皮质激素滴眼液
病毒性角膜炎	X-Y	分泌物一般为粘丝状或者条状
手术治疗	Accelerator	角膜激光手术
散瞳	X-Y	暂时的生活不便
裂纹或脉络膜新生血管累及了黄斑	Accelerator	暗点
血糖控制得好	Accelerator	眼底出血可能就不发生或出现的晚
不规则散光	X-Y	戴角膜接触镜
散光	X-Y	轴位的准确性比较好
中医中药	uncorrelated	散光的度数下降
并发症	Accelerator	白内障的手术
眼底出血	X-Y	保守治疗
远视	X-Y	框架眼镜
手术以后	Accelerator	视物模糊
眼睛充血	X-Y	不要使眼睛处于长期疲劳的状态
眼底出血	X-Y	早行视网膜激光光凝术
小儿角膜炎	X-Y	黑眼球上有白色的病灶
儿童发病	Accelerator	度数有可能会逐步降低
中心性浆液性脉络膜视网膜病变	X-Y	视网膜激光光凝
看近看远都非常模糊	Accelerator	严重
散光	X-Y	看东西老是有模糊不清楚或者有虚边的症状
外伤	X-Y	结膜下出血
视网膜中央动脉阻塞	X-Y	失明
晚期	Accelerator	低视力康复治疗
没有增大趋势或者短期内形态改变	Accelerator	观察
度数不是很大	Accelerator	成年以后是完全有可能恢复正常
丝状角膜炎	X-Y	眼部的异物感
眼底出血	X-Y	不需要热敷
不规则散光	Accelerator	不能用框架眼镜进行矫正
视网膜血管堵塞	X-Y	继发性青光眼
老花眼	X-Y	不戴老花镜，也可以看清近处的物体
视网膜分支静脉阻塞	X-Y	可能会恢复正常
沙眼	X-Y	全身应用抗生素
防止眼部疲劳症状	Accelerator	避免接触电脑、手机等电子产品的时间过长
严重	Accelerator	黄斑劈裂
高度的散光	X-Y	框架眼镜
高度近视	X-Y	高度近视性眼底病变
化学灼伤	X-Y	角膜炎
眼睛看东西模糊	X-Y	黄斑疾病
角膜炎	X-Y	控制
视网膜静脉周围炎	X-Y	视网膜和玻璃体腔的大量出血
视网膜近视性改变	X-Y	视网膜脱离
沙眼	X-Y	加重对眼睛的损伤
散光	X-Y	成年以后行屈光手术
早期	X-Y	白天也多用眼药膏
周围组织挤压	X-Y	眼部神经受压
老花眼	X-Y	尽量不用或减少使用电子产品的频率和使用时间
眼睛功能发育滞后	Accelerator	眼睛的低屈光力状态或者是矫正视力低于正常
视网膜脱离	Accelerator	视网膜脱离复位手术
病毒性角膜炎	X-Y	水肿明显
散瞳眼底检查	X-Y	及早发现病变
视网膜浅脱离	X-Y	选择合理的治疗方案
外伤或者全身性疾病	X-Y	球结膜下出血
小儿角膜炎	X-Y	流泪
散光	X-Y	视疲劳
急性沙眼感染	X-Y	自行缓解
黄斑的疾病	X-Y	色觉的异常
睑板腺功能异常	X-Y	干涩
严重的干眼	X-Y	结膜充血
剧烈呛咳	X-Y	结膜下出血
老花	X-Y	缓解眼睛的衰老
顺规	Accelerator	配50-100度左右的散光眼镜
高血压或者糖尿病等引起的视网膜病变	X-Y	眼底激光治疗
对视力造成的影响特别大	Accelerator	角膜移植术
进行±25°的微调	Accelerator	确定老光戴镜的度数
从远看近时睫状肌不能够及时有效的收缩	Accelerator	近处物体就会看不清
出血量比较大	Accelerator	玻璃体腔的积血
视网膜血管堵塞	X-Y	头痛
早期	Accelerator	活血化瘀的药物
儿童散光	X-Y	散瞳验光
泪囊炎	X-Y	泪道激光
晶状体老化以后硬度增加、弹性降低	Accelerator	近视力下降
小儿角膜炎	X-Y	大量的黄色或白色的分泌物
防止玻璃膜上出现新的裂孔	Accelerator	禁止进行巩膜压陷
感染性因素	X-Y	角膜炎
麦粒肿	X-Y	脓液流出
眼睛视力下降的原因	X-Y	白内障
视网膜病变	X-Y	保守治疗
不规则散光	Accelerator	角膜绷带镜
防止眼部疲劳症状	Accelerator	尽量避免长时间熬夜等不良的生活习惯
视网膜血管堵塞	X-Y	视力会严重下降直至失明
两只眼混合散光的度数大于250度以上	Accelerator	适当降低两眼度数的差别
视网膜激光光凝术	X-Y	视物模糊
眼底血管样条纹	X-Y	视力会下降到手动且不容易恢复
病情逐渐加重	Accelerator	强烈的疼痛症状
散光	X-Y	不能用框架眼镜进行矫正
视物变形	Accelerator	光动力疗法
斜视	X-Y	不要拖延等待
经过合理的治疗	Accelerator	视力是完全恢复正常
经常看近距离的时间过久	X-Y	有近视的散光
治疗办法	Accelerator	框架眼镜
超高度近视	X-Y	眼轴已经严重的拉长
过敏因素	Accelerator	非甾体消炎药物
减少电子屏幕中蓝光对眼睛造成的损害	Accelerator	缓解眼部疲劳
不存在眼底疾病等其他的影响视力的疾病	Accelerator	同时维持远、中、近三种视力的要求
了解老花眼患者的工作性质和阅读习惯	Accelerator	老花眼眼镜的验配
外伤	X-Y	眼部神经受压
位于瞳孔区附近或者是中央	Accelerator	视力障碍
少量出血	Accelerator	早行视网膜激光光凝术
戴镜15-20分钟后	Accelerator	确定老光戴镜的度数
视野缺损	Accelerator	及早完善眼底检查
角膜炎	X-Y	穿透性角膜移植术
糖尿病视网膜病变	X-Y	黄斑区格栅样光凝
散光	X-Y	优先选择角膜接触镜
病毒性角膜炎	X-Y	淋巴结容易肿大
类风湿性关节炎	X-Y	角膜病变
麦粒肿	X-Y	局部的热敷
角膜炎	X-Y	真菌性角膜炎
眼底血管样条纹	X-Y	禁止进行巩膜压陷
视网膜分支静脉阻塞	X-Y	甲钴胺片
辛辣食物	Inhibitor	使用
视神经炎性病变	Accelerator	激素类的药物
视网膜中央动脉阻塞	X-Y	扩血管治疗
糖尿病视网膜病变	X-Y	眼睛剧痛
散光	X-Y	头部倾斜
盘状角膜炎	X-Y	阿昔洛韦滴眼剂
视网膜的缺血	Accelerator	激光治疗
高血压	X-Y	眼底出血
全身性的疾病	X-Y	睡醒眼睛肿
视野的缺损	X-Y	视野的恢复也是比较困难
肿瘤压迫	X-Y	眼部神经受压
早期	Accelerator	甲钴胺片
大低头	X-Y	结膜下出血
糖尿病视网膜病变	X-Y	眼底病变的发展就会减缓
看近会有所吃力	Accelerator	配戴一副度数较高的花镜
角膜炎	Accelerator	针对角膜炎进行治疗
老花眼	X-Y	看近就没那么吃力
病毒感染	X-Y	角膜炎
视网膜中央静脉或分支静脉阻塞	X-Y	激光治疗
眼底血管样条纹	X-Y	视力下降
病毒感染	X-Y	带状疱疹性角膜炎
结膜下出血	X-Y	自行消退
散光	X-Y	视力非常明显的下降
长时间近距离用眼	X-Y	睫状肌调节疲劳
大量分泌物时	Accelerator	细菌性角膜炎
老花	X-Y	养成良好的饮食习惯、不挑食
腺管疏通开	Accelerator	配合局部热敷
盘状角膜炎	X-Y	视力的明显下降
视网膜病变	X-Y	荧光血管造影
玻璃体腔的积血	Accelerator	玻璃体切割手术
眼底出血	X-Y	外伤缝合处理
高度的散光	X-Y	会造成严重的视物模糊
散光成像特点	X-Y	出现簇状或者团状光圈
正常情况下，散光应该不会超过200-300度	Accelerator	有病理性的眼部疾病
预防老花眼	X-Y	锻炼睫状肌的调节功能
机体抵抗的下降	X-Y	病毒性角膜炎
色素上皮局部萎缩	X-Y	低视力康复治疗
细菌性角膜炎	X-Y	取部分眼部的分泌物去做药敏实验
血栓	X-Y	视网膜静脉阻塞
患者感觉不到	Accelerator	可能完全没有症状
血压高到180mmhg以上	Accelerator	高血压眼底出血
湿性的黄斑变性	X-Y	注射抗VEGF类的药物
散光自测	X-Y	放射状视标图
干眼症	X-Y	不要长时间看书或者手机、电脑
长期流眼泪	X-Y	泪道探通术
缓解	Inhibitor	到正规医院及时治疗
自觉眼前发红	Accelerator	血细胞进入到玻璃体腔
人的眼球	X-Y	是一个横椭圆形
隐形眼镜	X-Y	结膜炎症反应
近视	uncorrelated	防蓝光眼镜
术后感染	X-Y	眼球萎缩
暴露性角膜炎	X-Y	上皮的干燥
角膜变性	X-Y	散光
出现老花眼的年龄	X-Y	40岁左右
网膜已经复位良好	Accelerator	将环扎带手术取出
中央静脉阻塞	Accelerator	眼前发暗
老花眼	X-Y	佩戴老花眼镜
老花眼	X-Y	看近处需要摘掉眼镜
椭圆形	Accelerator	长轴的方向则称之为散光的轴向
减慢其发展速度	Accelerator	服用枸杞子、决明子、菊花泡茶
没有再次出血、术后感染这些并发症	Accelerator	2-3天就可以出院
眼底出血	X-Y	激光治疗
病毒性角膜炎	X-Y	病毒感染的二次复发
早期	Accelerator	血管扩张剂
暴露性角膜炎	X-Y	戴湿房镜
近视	X-Y	视力下降
100度或200度左右的近视	Accelerator	看近就没那么吃力
出血量比较大	Accelerator	黄斑水肿
不及时处理	Accelerator	危及生命
范围比较小	Accelerator	视网膜脱离
出血量比较大	Accelerator	保守观察1-2个礼拜左右
详细检查	Accelerator	选取合理的药物控制炎症
老花眼	X-Y	萘敏维滴眼液
少量出血	Accelerator	在1-2周左右可以逐步恢复正常
视网膜裂孔	X-Y	视网膜激光光凝术
感冒	Accelerator	病毒感染
盘状角膜炎	X-Y	更昔洛韦滴眼剂
眼前黑影	Accelerator	及早完善眼底检查
不愿意配戴框架眼镜	Accelerator	角膜塑形镜
免疫因素	Accelerator	糖皮质激素滴眼液
光心偏离	X-Y	角膜形态不规则
压痛、触痛明显	Accelerator	眼睑脓肿
久处空调房	X-Y	总是流泪
视网膜血管堵塞	X-Y	卵磷脂络合碘片
两个月以后观察到了视网膜的状态	Accelerator	明确视网膜出血的原因
300度以上的高度散光	Accelerator	人工晶体植入手术
睑板腺功能障碍	X-Y	联合人工泪液来抗炎对症治疗
原因有非常多	Accelerator	及早到正规医院做相关检查
高度近视	X-Y	视网膜近视性改变
单眼散光	X-Y	提高视力
泪液分泌减少	X-Y	总是流泪
尘螨	X-Y	结膜代偿性的充血
抗病毒的滴眼剂	Accelerator	更昔洛韦滴眼剂
12-35岁左右的青少年	Accelerator	快速散瞳验光
流行性出血性结膜炎	X-Y	流泪
真菌性角膜炎	Accelerator	两性霉素B
玻璃体切割手术	X-Y	2-3天就可以出院
角膜瘢痕形成造成视力障碍	Accelerator	角膜移植术
眼部疲劳	X-Y	一过性眼压升高
眼前似有云雾遮挡感	Accelerator	血细胞进入到玻璃体腔
糖尿病	Accelerator	眼底出血
视网膜激光光凝术	X-Y	视网膜静脉阻塞
通过鼻泪管蔓延进入结膜囊内	Accelerator	病毒性结膜炎
配戴老花镜	X-Y	双光老花镜
视网膜近视性改变	X-Y	很难通过各种方法去逆转
肿瘤性	Accelerator	结合化疗
散光	X-Y	检眼镜不能看清楚眼底
孔源性视网膜脱离	X-Y	及时治疗
配戴眼镜	Accelerator	视力可以重新恢复正常
儿童	Accelerator	斜视
湿性的老年性黄斑病变	X-Y	黄斑区出血
结膜代偿性的充血	X-Y	检查角膜和虹膜
眼挫伤	X-Y	结膜下出血
高血压	X-Y	眼前的黑影飘动、烟雾感
生理性的散光	Accelerator	屈光手术治疗
散光	X-Y	不会对视力造成任何影响的
初期	Accelerator	滤泡性的结膜炎
防止眼部疲劳症状	Accelerator	减少长时间近距离用眼的机会
散光	X-Y	角膜曲率
免疫力下降	Accelerator	病毒感染的二次复发
全色盲	X-Y	有弱视
散光	X-Y	眼镜基本上就要一直戴下去
视网膜前膜	X-Y	不需要处理
高血压	X-Y	眼底出血
视网膜色素变性	X-Y	视野缺损
消除眼睛肿	X-Y	针对病因进行治疗
缓解眼部的疲劳	Accelerator	珍视明滴眼液
散瞳以后	Accelerator	晶体源性散光
手术以前一定要对眼睛进行详细的检查	Accelerator	角膜地形图
20多岁左右的年轻人	Accelerator	看远和看近都不会有明显的症状
斜轴	Accelerator	需要将散光配足
玻璃膜疣	X-Y	多吃绿色蔬菜
减慢其发展速度	Accelerator	尽量不用或减少使用电子产品的频率和使用时间
沙眼	X-Y	眼痒
角膜溃疡	X-Y	眼内炎
眼结石	X-Y	慢性炎症
眼底病变在3级或4级以上	Accelerator	眼内注射抗新生血管药物
配戴时的舒服度	Accelerator	最佳的散光度数
270度	Accelerator	中度散光
结膜血管扩张与充盈	Accelerator	眼睛发红
散光	X-Y	会造成严重的视物模糊
感染细菌毒力太强	Accelerator	角膜溃疡
急性泪腺炎	X-Y	流泪
散光的度数不会太大	Accelerator	框架眼镜
糖尿病视网膜病变	X-Y	全视网膜光凝治疗
配戴隐形眼镜	X-Y	到正规医院去验配
疼痛剧烈	Accelerator	麦粒肿
少部分	Accelerator	竖椭圆形
验光以后，显示眼睛存在250度的散光	Accelerator	视力非常明显的下降
红血丝	X-Y	过敏性结膜炎
视网膜裂孔	X-Y	视网膜激光光凝术
眼底出血	X-Y	黄斑变性
后天性色盲	X-Y	治疗原发病有恢复的可能
看东西有散光感或者周围有遮挡感	Accelerator	及时去医院检查
眼底没有出血	Accelerator	等待血自然吸收
屈光状态	X-Y	老花眼
穿孔	Accelerator	眼内炎
眼底出血	X-Y	激光治疗
预防	Accelerator	养成良好的饮食习惯、不挑食
配戴眼镜	Accelerator	提高视力
远视	X-Y	成年以后是完全有可能恢复正常
散光	X-Y	不用配戴眼镜
散光	X-Y	手术难度增大
老花眼	X-Y	科学验配老花镜
眼底出血	X-Y	血管造影检查
生理性的散光	Accelerator	角膜接触镜
异物	X-Y	外观上眼睛发红
下眼皮肿胀、疼痛	X-Y	麦粒肿
预防新生血管性青光眼的发生	Accelerator	激光治疗
长期流眼泪	X-Y	泪囊炎
老花眼	X-Y	珍视明滴眼液
圆锥角膜	X-Y	角膜屈光手术
先天性色盲	X-Y	尚无治愈方法
比较严重的时候	Accelerator	角膜屈光手术
眼底出血	X-Y	全视网膜激光光凝
细菌性鼻炎	X-Y	细菌性角膜炎
大度数的外斜视	X-Y	影响双眼立体视觉功能的发育
疼痛特别难忍	Accelerator	母乳
眼睛视力下降的原因	X-Y	视网膜动脉痉挛
局部的充血	Accelerator	术后正常的表现
眼睑裂伤	X-Y	明显的伤口伴随流血
细菌性角膜炎	X-Y	角膜穿孔
眼部受到轻微外伤	X-Y	结膜下出血
眼睑蜂窝织炎	X-Y	发热
长期流眼泪	X-Y	手术治疗
眼睛下面有红点	X-Y	球结膜下出血
散光度数	X-Y	最佳的散光度数
色盲	X-Y	完全无法辨别相应的颜色
细菌性	Accelerator	可以互相传染
晶状体老化以后硬度增加、弹性降低	Accelerator	阅读的时候喜欢把物体放在远一些
玻璃体积血的时间比较长	Accelerator	手术解决
促进视功能的发育	Accelerator	对于远视或者弱视这两种疾病是有治疗作用
电光性眼炎	X-Y	重组牛碱性成纤维细胞生长因子滴眼液
渗出性的视网膜脱离	X-Y	药物治疗
老花眼	X-Y	近距离用眼时间过久，要学会适当的休息
沙眼	X-Y	干燥
代偿性的充血	X-Y	去除导致缺氧缺水的原因
儿童发病	Accelerator	成年以后是完全有可能恢复正常
皮肤脱屑	Accelerator	睑缘炎
